Liked;hilangkan_kapital;Review_clean_V2
0;i ve had better bagels from the grocery store;better bagels grocery store
1;go to place for gyros;go place gyros
1;i love the owner chef his one authentic japanese cool dude;love owner chef one authentic japanese cool dude
0;now the burgers aren t as good the pizza which used to be amazing is doughy and flavorless;burgers good pizza used amazing doughy flavorless
0;i found a six inch long piece of wire in my salsa;found six inch long piece wire salsa
0;the service was terrible food was mediocre;service terrible food mediocre
1;we definately enjoyed ourselves;definately enjoyed
0;i ordered albondigas soup which was just warm and tasted like tomato soup with frozen meatballs;ordered albondigas soup warm tasted like tomato soup frozen meatballs
0;on three different occasions i asked for well done or medium well and all three times i got the bloodiest piece of meat on my plate;three different occasions asked well done medium well three times got bloodiest piece meat plate
0;i had about two bites and refused to eat anymore;two bites refused eat anymore
0;the service was extremely slow;service extremely slow
0;after minutes wait i got a table;minutes wait got table
1;seriously killer hot chai latte;seriously killer hot chai latte
0;no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts;allergy warnings menu waitress absolutely clue meals contain peanuts
1;my boyfriend tried the mediterranean chicken salad and fell in love;boyfriend tried mediterranean chicken salad fell love
1;their rotating beers on tap is also a highlight of this place;rotating beers tap also highlight place
0;pricing is a bit of a concern at mellow mushroom;pricing bit concern mellow mushroom
0;worst thai ever;worst thai ever
1;if you stay in vegas you must get breakfast here at least once;stay vegas must get breakfast least
1;i want to first say our server was great and we had perfect service;want first say server great perfect service
1;the pizza selections are good;pizza selections good
1;i had strawberry tea which was good;strawberry tea good
0;highly unprofessional and rude to a loyal patron;highly unprofessional rude loyal patron
1;overall a great experience;overall great experience
0;spend your money elsewhere;spend money elsewhere
1;their regular toasted bread was equally satisfying with the occasional pats of butter mmmm;regular toasted bread equally satisfying occasional pats butter mmmm
0;the buffet at bellagio was far from what i anticipated;buffet bellagio far anticipated
0;and the drinks are weak people;drinks weak people
0;my order was not correct;order correct
0;also i feel like the chips are bought not made in house;also feel like chips bought made house
0;after the disappointing dinner we went elsewhere for dessert;disappointing dinner went elsewhere dessert
1;the chips and sals a here is amazing;chips sals amazing
0;we won t be returning;returning
1;this is my new fav vegas buffet spot;new fav vegas buffet spot
0;i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off;seriously believe owner many unexperienced employees running around like chickens heads cut
0;very very sad;sad
0;i felt insulted and disrespected how could you talk and judge another human being like that;felt insulted disrespected could talk judge another human like
0;how can you call yourself a steakhouse if you can t properly cook a steak i don t understand;call steakhouse properly cook steak understand
0;i m not impressed with the concept or the food;impressed concept food
0;the only thing i wasn t too crazy about was their guacamole as i don t like it pur ed;thing crazy guacamole like pur ed
0;there is really nothing for me at postinos hope your experience is better;really nothing postinos hope experience better
0;i got food poisoning here at the buffet;got food poisoning buffet
0;they brought a fresh batch of fries and i was thinking yay something warm but no;brought fresh batch fries thinking yay something warm
0;what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us;hilarious yummy christmas eve dinner remember biggest fail entire trip us
0;needless to say i won t be going back anytime soon;needless say going back anytime soon
0;this place is disgusting;place disgusting
1;every time i eat here i see caring teamwork to a professional degree;every time eat see caring teamwork professional degree
0;the ri style calamari was a joke;ri style calamari joke
0;however there was so much garlic in the fondue it was barely edible;however much garlic fondue barely edible
0;i could barely stomach the meal but didn t complain because it was a business lunch;could barely stomach meal complain business lunch
0;it was so bad i had lost the heart to finish it;bad lost heart finish
0;it also took her forever to bring us the check when we asked for it;also took forever bring us check asked
0;we aren t ones to make a scene at restaurants but i just don t get it definitely lost the love after this one;ones make scene restaurants get definitely lost love one
0;disappointing experience;disappointing experience
0;the food is about on par with denny s which is to say not good at all;food par denny say good
0;if you want to wait for mediocre food and downright terrible service then this is the place for you;want wait mediocre food downright terrible service place
0;waaaaaayyyyyyyyyy over rated is all i am saying;waaaaaayyyyyyyyyy rated saying
0;we won t be going back;going back
0;the place was fairly clean but the food simply wasn t worth it;place fairly clean food simply worth
0;this place lacked style;place lacked style
0;the sangria was about half of a glass wine full and was ridiculous;sangria half glass wine full ridiculous
0;don t bother coming here;bother coming
0;the meat was pretty dry i had the sliced brisket and pulled pork;meat pretty dry sliced brisket pulled pork
0;the building itself seems pretty neat the bathroom is pretty trippy but i wouldn t eat here again;building seems pretty neat bathroom pretty trippy eat
0;it was equally awful;equally awful
0;probably not in a hurry to go back;probably hurry go back
0;very slow at seating even with reservation;slow seating even reservation
0;not good by any stretch of the imagination;good stretch imagination
0;the cashew cream sauce was bland and the vegetables were undercooked;cashew cream sauce bland vegetables undercooked
0;the chipolte ranch dipping sause was tasteless seemed thin and watered down with no heat;chipolte ranch dipping sause tasteless seemed thin watered heat
0;it was a bit too sweet not really spicy enough and lacked flavor;bit sweet really spicy enough lacked flavor
0;i was very disappointed;disappointed
0;this place is horrible and way overpriced;place horrible way overpriced
0;maybe it s just their vegetarian fare but i ve been twice and i thought it was average at best;maybe vegetarian fare twice thought average best
0;it wasn t busy at all and now we know why;busy know
0;the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu;tables outside also dirty lot time workers always friendly helpful menu
0;the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits;ambiance feel like buffet setting douchey indoor garden tea biscuits
0;con spotty service;con spotty service
0;the fries were not hot and neither was my burger;fries hot neither burger
0;but then they came back cold;came back cold
0;then our food came out disappointment ensued;food came disappointment ensued
0;the real disappointment was our waiter;real disappointment waiter
0;my husband said she was very rude did not even apologize for the bad food or anything;husband said rude even apologize bad food anything
0;the only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach;reason eat would fill night binge drinking get carbs stomach
0;insults profound deuchebaggery and had to go outside for a smoke break while serving just to solidify it;insults profound deuchebaggery go outside smoke break serving solidify
0;if someone orders two tacos don t you think it may be part of customer service to ask if it is combo or ala cart;someone orders two tacos think may part customer service ask combo ala cart
0;she was quite disappointed although some blame needs to be placed at her door;quite disappointed although blame needs placed door
0;after all the rave reviews i couldn t wait to eat here what a disappointment;rave reviews wait eat disappointment
0;del taco is pretty nasty and should be avoided if possible;del taco pretty nasty avoided possible
0;it s not hard to make a decent hamburger;hard make decent hamburger
0;but i don t like it;like
0;hell no will i go back;hell go back
0;we ve have gotten a much better service from the pizza place next door than the services we received from this restaurant;gotten much better service pizza place next door services received restaurant
0;i don t know what the big deal is about this place but i won t be back ya all;know big deal place back ya
0;i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar;immediately said wanted talk manager want talk guy shots fireball behind bar
0;the ambiance isn t much better;ambiance much better
0;unfortunately it only set us up for disapppointment with our entrees;unfortunately set us disapppointment entrees
0;the food wasn t good;food good
0;your servers suck wait correction our server heimer sucked;servers suck wait correction server heimer sucked
0;what happened next was pretty off putting;happened next pretty putting
0;too bad cause i know it s family owned i really wanted to like this place;bad cause know family owned really wanted like place
0;overpriced for what you are getting;overpriced getting
0;i vomited in the bathroom mid lunch;vomited bathroom mid lunch
0;i kept looking at the time and it had soon become minutes yet still no food;kept looking time soon become minutes yet still food
0;i have been to very few places to eat that under no circumstances would i ever return to and this tops the list;places eat circumstances would ever return tops list
0;we started with the tuna sashimi which was brownish in color and obviously wasn t fresh;started tuna sashimi brownish color obviously fresh
0;food was below average;food average
0;it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant;sure beat nachos movies would expect little bit coming restaurant
0;all in all ha long bay was a bit of a flop;ha long bay bit flop
0;the problem i have is that they charge for a sandwich that is no bigger than a subway sub which offers better and more amount of vegetables;problem charge sandwich bigger subway sub offers better amount vegetables
0;shrimp when i unwrapped it i live only a mile from brushfire it was literally ice cold;shrimp unwrapped live mile brushfire literally ice cold
0;it lacked flavor seemed undercooked and dry;lacked flavor seemed undercooked dry
0;it really is impressive that the place hasn t closed down;really impressive place closed
0;i would avoid this place if you are staying in the mirage;would avoid place staying mirage
0;the refried beans that came with my meal were dried out and crusty and the food was bland;refried beans came meal dried crusty food bland
0;spend your money and time some place else;spend money time place else
0;a lady at the table next to us found a live green caterpillar in her salad;lady table next us found live green caterpillar salad
0;the presentation of the food was awful;presentation food awful
0;i can t tell you how disappointed i was;tell disappointed
0;i think food should have flavor and texture and both were lacking;think food flavor texture lacking
0;appetite instantly gone;appetite instantly gone
0;overall i was not impressed and would not go back;overall impressed would go back
0;the whole experience was underwhelming and i think we ll just go to ninja sushi next time;whole experience underwhelming think go ninja sushi next time
0;then as if i hadn t wasted enough of my life there they poured salt in the wound by drawing out the time it took to bring the check;wasted enough life poured salt wound drawing time took bring check
