index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
534;Terrible management.;0;Terrible management;terrible management;['terrible', 'management'];terrible management
535;An excellent new restaurant by an experienced Frenchman.;1;An excellent new restaurant by an experienced Frenchman;an excellent new restaurant by an experienced frenchman;['excellent', 'new', 'restaurant', 'experienced', 'frenchman'];excellent new restaurant experienced frenchman
536;If there were zero stars I would give it zero stars.;0;If there were zero stars I would give it zero stars;if there were zero stars i would give it zero stars;['zero', 'stars', 'would', 'give', 'zero', 'stars'];zero stars would give zero stars
537;Great steak, great sides, great wine, amazing desserts.;1;Great steak great sides great wine amazing desserts;great steak great sides great wine amazing desserts;['great', 'steak', 'great', 'sides', 'great', 'wine', 'amazing', 'desserts'];great steak great sides great wine amazing desserts
538;Worst martini ever!;0;Worst martini ever;worst martini ever;['worst', 'martini', 'ever'];worst martini ever
539;The steak and the shrimp are in my opinion the best entrees at GC.;1;The steak and the shrimp are in my opinion the best entrees at GC;the steak and the shrimp are in my opinion the best entrees at gc;['steak', 'shrimp', 'opinion', 'best', 'entrees', 'gc'];steak shrimp opinion best entrees gc
540;I had the opportunity today to sample your amazing pizzas!;1;I had the opportunity today to sample your amazing pizzas;i had the opportunity today to sample your amazing pizzas;['opportunity', 'today', 'sample', 'amazing', 'pizzas'];opportunity today sample amazing pizzas
541;We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).;0;We waited for thirty minutes to be seated although there were vacant tables and we were the only folks waiting;we waited for thirty minutes to be seated although there were vacant tables and we were the only folks waiting;['waited', 'thirty', 'minutes', 'seated', 'although', 'vacant', 'tables', 'folks', 'waiting'];waited thirty minutes seated although vacant tables folks waiting
542;The yellowtail carpaccio was melt in your mouth fresh.;1;The yellowtail carpaccio was melt in your mouth fresh;the yellowtail carpaccio was melt in your mouth fresh;['yellowtail', 'carpaccio', 'melt', 'mouth', 'fresh'];yellowtail carpaccio melt mouth fresh
543;I won't try going back there even if it's empty.;0;I won t try going back there even if it s empty;i won t try going back there even if it s empty;['try', 'going', 'back', 'even', 'empty'];try going back even empty
544;No, I'm going to eat the potato that I found some strangers hair in it.;0;No I m going to eat the potato that I found some strangers hair in it;no i m going to eat the potato that i found some strangers hair in it;['going', 'eat', 'potato', 'found', 'strangers', 'hair'];going eat potato found strangers hair
545;Just spicy enough.. Perfect actually.;1;Just spicy enough Perfect actually;just spicy enough perfect actually;['spicy', 'enough', 'perfect', 'actually'];spicy enough perfect actually
546;Last night was my second time dining here and I was so happy I decided to go back!;1;Last night was my second time dining here and I was so happy I decided to go back;last night was my second time dining here and i was so happy i decided to go back;['last', 'night', 'second', 'time', 'dining', 'happy', 'decided', 'go', 'back'];last night second time dining happy decided go back
547;"not even a ""hello, we will be right with you.""";0;not even a hello we will be right with you;not even a hello we will be right with you;['even', 'hello', 'right'];even hello right
548;The desserts were a bit strange.;0;The desserts were a bit strange;the desserts were a bit strange;['desserts', 'bit', 'strange'];desserts bit strange
549;My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.;1;My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service;my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service;['boyfriend', 'came', 'first', 'time', 'recent', 'trip', 'vegas', 'could', 'pleased', 'quality', 'food', 'service'];boyfriend came first time recent trip vegas could pleased quality food service
550;I really do recommend this place, you can go wrong with this donut place!;1;I really do recommend this place you can go wrong with this donut place;i really do recommend this place you can go wrong with this donut place;['really', 'recommend', 'place', 'go', 'wrong', 'donut', 'place'];really recommend place go wrong donut place
551;Nice ambiance.;1;Nice ambiance;nice ambiance;['nice', 'ambiance'];nice ambiance
552;I would recommend saving room for this!;1;I would recommend saving room for this;i would recommend saving room for this;['would', 'recommend', 'saving', 'room'];would recommend saving room
553;I guess maybe we went on an off night but it was disgraceful.;0;I guess maybe we went on an off night but it was disgraceful;i guess maybe we went on an off night but it was disgraceful;['guess', 'maybe', 'went', 'night', 'disgraceful'];guess maybe went night disgraceful
554;However, my recent experience at this particular location was not so good.;0;However my recent experience at this particular location was not so good;however my recent experience at this particular location was not so good;['however', 'recent', 'experience', 'particular', 'location', 'good'];however recent experience particular location good
555;I know this is not like the other restaurants at all, something is very off here!;0;I know this is not like the other restaurants at all something is very off here;i know this is not like the other restaurants at all something is very off here;['know', 'like', 'restaurants', 'something'];know like restaurants something
556;AVOID THIS ESTABLISHMENT!;0;AVOID THIS ESTABLISHMENT;avoid this establishment;['avoid', 'establishment'];avoid establishment
557;I think this restaurant suffers from not trying hard enough.;0;I think this restaurant suffers from not trying hard enough;i think this restaurant suffers from not trying hard enough;['think', 'restaurant', 'suffers', 'trying', 'hard', 'enough'];think restaurant suffers trying hard enough
558;All of the tapas dishes were delicious!;1;All of the tapas dishes were delicious;all of the tapas dishes were delicious;['tapas', 'dishes', 'delicious'];tapas dishes delicious
559;I *heart* this place.;1;I heart this place;i heart this place;['heart', 'place'];heart place
560;My salad had a bland vinegrette on the baby greens and hearts of Palm.;0;My salad had a bland vinegrette on the baby greens and hearts of Palm;my salad had a bland vinegrette on the baby greens and hearts of palm;['salad', 'bland', 'vinegrette', 'baby', 'greens', 'hearts', 'palm'];salad bland vinegrette baby greens hearts palm
561;After two I felt disgusting.;0;After two I felt disgusting;after two i felt disgusting;['two', 'felt', 'disgusting'];two felt disgusting
562;A good time!;1;A good time;a good time;['good', 'time'];good time
563;I believe that this place is a great stop for those with a huge belly and hankering for sushi.;1;I believe that this place is a great stop for those with a huge belly and hankering for sushi;i believe that this place is a great stop for those with a huge belly and hankering for sushi;['believe', 'place', 'great', 'stop', 'huge', 'belly', 'hankering', 'sushi'];believe place great stop huge belly hankering sushi
564;Generous portions and great taste.;1;Generous portions and great taste;generous portions and great taste;['generous', 'portions', 'great', 'taste'];generous portions great taste
565;I will never go back to this place and will never ever recommended this place to anyone!;0;I will never go back to this place and will never ever recommended this place to anyone;i will never go back to this place and will never ever recommended this place to anyone;['never', 'go', 'back', 'place', 'never', 'ever', 'recommended', 'place', 'anyone'];never go back place never ever recommended place anyone
566;"The servers went back and forth several times, not even so much as an ""Are you being helped?""";0;The servers went back and forth several times not even so much as an Are you being helped;the servers went back and forth several times not even so much as an are you being helped;['servers', 'went', 'back', 'forth', 'several', 'times', 'even', 'much', 'helped'];servers went back forth several times even much helped
567;Food was delicious!;1;Food was delicious;food was delicious;['food', 'delicious'];food delicious
568;AN HOUR... seriously?;0;AN HOUR seriously;an hour seriously;['hour', 'seriously'];hour seriously
569;I consider this theft.;0;I consider this theft;i consider this theft;['consider', 'theft'];consider theft
570;Eew... This location needs a complete overhaul.;0;Eew This location needs a complete overhaul;eew this location needs a complete overhaul;['eew', 'location', 'needs', 'complete', 'overhaul'];eew location needs complete overhaul
571;We recently witnessed her poor quality of management towards other guests as well.;0;We recently witnessed her poor quality of management towards other guests as well;we recently witnessed her poor quality of management towards other guests as well;['recently', 'witnessed', 'poor', 'quality', 'management', 'towards', 'guests', 'well'];recently witnessed poor quality management towards guests well
572;Waited and waited and waited.;0;Waited and waited and waited;waited and waited and waited;['waited', 'waited', 'waited'];waited waited waited
573;He also came back to check on us regularly, excellent service.;1;He also came back to check on us regularly excellent service;he also came back to check on us regularly excellent service;['also', 'came', 'back', 'check', 'us', 'regularly', 'excellent', 'service'];also came back check us regularly excellent service
574;Our server was super nice and checked on us many times.;1;Our server was super nice and checked on us many times;our server was super nice and checked on us many times;['server', 'super', 'nice', 'checked', 'us', 'many', 'times'];server super nice checked us many times
575;The pizza tasted old, super chewy in not a good way.;0;The pizza tasted old super chewy in not a good way;the pizza tasted old super chewy in not a good way;['pizza', 'tasted', 'old', 'super', 'chewy', 'good', 'way'];pizza tasted old super chewy good way
576;I swung in to give them a try but was deeply disappointed.;0;I swung in to give them a try but was deeply disappointed;i swung in to give them a try but was deeply disappointed;['swung', 'give', 'try', 'deeply', 'disappointed'];swung give try deeply disappointed
577;Service was good and the company was better!;1;Service was good and the company was better;service was good and the company was better;['service', 'good', 'company', 'better'];service good company better
578;The staff are also very friendly and efficient.;1;The staff are also very friendly and efficient;the staff are also very friendly and efficient;['staff', 'also', 'friendly', 'efficient'];staff also friendly efficient
579;As for the service: I'm a fan, because it's quick and you're being served by some nice folks.;1;As for the service I m a fan because it s quick and you re being served by some nice folks;as for the service i m a fan because it s quick and you re being served by some nice folks;['service', 'fan', 'quick', 'served', 'nice', 'folks'];service fan quick served nice folks
580;Boy was that sucker dry!!.;0;Boy was that sucker dry;boy was that sucker dry;['boy', 'sucker', 'dry'];boy sucker dry
581;Over rated.;0;Over rated;over rated;['rated'];rated
582;If you look for authentic Thai food, go else where.;0;If you look for authentic Thai food go else where;if you look for authentic thai food go else where;['look', 'authentic', 'thai', 'food', 'go', 'else'];look authentic thai food go else
583;Their steaks are 100% recommended!;1;Their steaks are recommended;their steaks are recommended;['steaks', 'recommended'];steaks recommended
584;After I pulled up my car I waited for another 15 minutes before being acknowledged.;0;After I pulled up my car I waited for another minutes before being acknowledged;after i pulled up my car i waited for another minutes before being acknowledged;['pulled', 'car', 'waited', 'another', 'minutes', 'acknowledged'];pulled car waited another minutes acknowledged
585;Great food and great service in a clean and friendly setting.;1;Great food and great service in a clean and friendly setting;great food and great service in a clean and friendly setting;['great', 'food', 'great', 'service', 'clean', 'friendly', 'setting'];great food great service clean friendly setting
586;All in all, I can assure you I'll be back.;1;All in all I can assure you I ll be back;all in all i can assure you i ll be back;['assure', 'back'];assure back
587;I hate those things as much as cheap quality black olives.;0;I hate those things as much as cheap quality black olives;i hate those things as much as cheap quality black olives;['hate', 'things', 'much', 'cheap', 'quality', 'black', 'olives'];hate things much cheap quality black olives
588;My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.;1;My breakfast was perpared great with a beautiful presentation of giant slices of Toast lightly dusted with powdered sugar;my breakfast was perpared great with a beautiful presentation of giant slices of toast lightly dusted with powdered sugar;['breakfast', 'perpared', 'great', 'beautiful', 'presentation', 'giant', 'slices', 'toast', 'lightly', 'dusted', 'powdered', 'sugar'];breakfast perpared great beautiful presentation giant slices toast lightly dusted powdered sugar
589;The kids play area is NASTY!;0;The kids play area is NASTY;the kids play area is nasty;['kids', 'play', 'area', 'nasty'];kids play area nasty
590;Great place fo take out or eat in.;1;Great place fo take out or eat in;great place fo take out or eat in;['great', 'place', 'fo', 'take', 'eat'];great place fo take eat
591;The waitress was friendly and happy to accomodate for vegan/veggie options.;1;The waitress was friendly and happy to accomodate for vegan veggie options;the waitress was friendly and happy to accomodate for vegan veggie options;['waitress', 'friendly', 'happy', 'accomodate', 'vegan', 'veggie', 'options'];waitress friendly happy accomodate vegan veggie options
592;OMG I felt like I had never eaten Thai food until this dish.;1;OMG I felt like I had never eaten Thai food until this dish;omg i felt like i had never eaten thai food until this dish;['omg', 'felt', 'like', 'never', 'eaten', 'thai', 'food', 'dish'];omg felt like never eaten thai food dish
593;"It was extremely ""crumby"" and pretty tasteless.";0;It was extremely crumby and pretty tasteless;it was extremely crumby and pretty tasteless;['extremely', 'crumby', 'pretty', 'tasteless'];extremely crumby pretty tasteless
594;It was a pale color instead of nice and char and has NO flavor.;0;It was a pale color instead of nice and char and has NO flavor;it was a pale color instead of nice and char and has no flavor;['pale', 'color', 'instead', 'nice', 'char', 'flavor'];pale color instead nice char flavor
595;The croutons also taste homemade which is an extra plus.;1;The croutons also taste homemade which is an extra plus;the croutons also taste homemade which is an extra plus;['croutons', 'also', 'taste', 'homemade', 'extra', 'plus'];croutons also taste homemade extra plus
596;I got home to see the driest damn wings ever!;0;I got home to see the driest damn wings ever;i got home to see the driest damn wings ever;['got', 'home', 'see', 'driest', 'damn', 'wings', 'ever'];got home see driest damn wings ever
597;It'll be a regular stop on my trips to Phoenix!;1;It ll be a regular stop on my trips to Phoenix;it ll be a regular stop on my trips to phoenix;['regular', 'stop', 'trips', 'phoenix'];regular stop trips phoenix
598;I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.;1;I really enjoyed Crema Caf before they expanded I even told friends they had the BEST breakfast;i really enjoyed crema caf before they expanded i even told friends they had the best breakfast;['really', 'enjoyed', 'crema', 'caf', 'expanded', 'even', 'told', 'friends', 'best', 'breakfast'];really enjoyed crema caf expanded even told friends best breakfast
599;Not good for the money.;0;Not good for the money;not good for the money;['good', 'money'];good money
600;I miss it and wish they had one in Philadelphia!;1;I miss it and wish they had one in Philadelphia;i miss it and wish they had one in philadelphia;['miss', 'wish', 'one', 'philadelphia'];miss wish one philadelphia
601;We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.;0;We got sitting fairly fast but ended up waiting minutes just to place our order another minutes before the food arrived;we got sitting fairly fast but ended up waiting minutes just to place our order another minutes before the food arrived;['got', 'sitting', 'fairly', 'fast', 'ended', 'waiting', 'minutes', 'place', 'order', 'another', 'minutes', 'food', 'arrived'];got sitting fairly fast ended waiting minutes place order another minutes food arrived
602;They also have the best cheese crisp in town.;1;They also have the best cheese crisp in town;they also have the best cheese crisp in town;['also', 'best', 'cheese', 'crisp', 'town'];also best cheese crisp town
603;Good value, great food, great service.;1;Good value great food great service;good value great food great service;['good', 'value', 'great', 'food', 'great', 'service'];good value great food great service
604;Couldn't ask for a more satisfying meal.;1;Couldn t ask for a more satisfying meal;couldn t ask for a more satisfying meal;['ask', 'satisfying', 'meal'];ask satisfying meal
605;The food is good.;1;The food is good;the food is good;['food', 'good'];food good
606;It was awesome.;1;It was awesome;it was awesome;['awesome'];awesome
607;I just wanted to leave.;0;I just wanted to leave;i just wanted to leave;['wanted', 'leave'];wanted leave
608;We made the drive all the way from North Scottsdale... and I was not one bit disappointed!;1;We made the drive all the way from North Scottsdale and I was not one bit disappointed;we made the drive all the way from north scottsdale and i was not one bit disappointed;['made', 'drive', 'way', 'north', 'scottsdale', 'one', 'bit', 'disappointed'];made drive way north scottsdale one bit disappointed
609;I will not be eating there again.;0;I will not be eating there again;i will not be eating there again;['eating'];eating
610;!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!;0;THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one;the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one;['owners', 'really', 'really', 'need', 'quit', 'soooooo', 'cheap', 'let', 'wrap', 'freaking', 'sandwich', 'two', 'papers', 'one'];owners really really need quit soooooo cheap let wrap freaking sandwich two papers one
611;I checked out this place a couple years ago and was not impressed.;0;I checked out this place a couple years ago and was not impressed;i checked out this place a couple years ago and was not impressed;['checked', 'place', 'couple', 'years', 'ago', 'impressed'];checked place couple years ago impressed
612;The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.;0;The chicken I got was definitely reheated and was only ok the wedges were cold and soggy;the chicken i got was definitely reheated and was only ok the wedges were cold and soggy;['chicken', 'got', 'definitely', 'reheated', 'ok', 'wedges', 'cold', 'soggy'];chicken got definitely reheated ok wedges cold soggy
613;Sorry, I will not be getting food from here anytime soon :(;0;Sorry I will not be getting food from here anytime soon;sorry i will not be getting food from here anytime soon;['sorry', 'getting', 'food', 'anytime', 'soon'];sorry getting food anytime soon
614;An absolute must visit!;1;An absolute must visit;an absolute must visit;['absolute', 'must', 'visit'];absolute must visit
615;The cow tongue and cheek tacos are amazing.;1;The cow tongue and cheek tacos are amazing;the cow tongue and cheek tacos are amazing;['cow', 'tongue', 'cheek', 'tacos', 'amazing'];cow tongue cheek tacos amazing
616;My friend did not like his Bloody Mary.;0;My friend did not like his Bloody Mary;my friend did not like his bloody mary;['friend', 'like', 'bloody', 'mary'];friend like bloody mary
617;Despite how hard I rate businesses, its actually rare for me to give a 1 star.;0;Despite how hard I rate businesses its actually rare for me to give a star;despite how hard i rate businesses its actually rare for me to give a star;['despite', 'hard', 'rate', 'businesses', 'actually', 'rare', 'give', 'star'];despite hard rate businesses actually rare give star
618;They really want to make your experience a good one.;1;They really want to make your experience a good one;they really want to make your experience a good one;['really', 'want', 'make', 'experience', 'good', 'one'];really want make experience good one
619;I will not return.;0;I will not return;i will not return;['return'];return
620;I had the chicken Pho and it tasted very bland.;0;I had the chicken Pho and it tasted very bland;i had the chicken pho and it tasted very bland;['chicken', 'pho', 'tasted', 'bland'];chicken pho tasted bland
621;Very disappointing!!!;0;Very disappointing;very disappointing;['disappointing'];disappointing
622;The grilled chicken was so tender and yellow from the saffron seasoning.;1;The grilled chicken was so tender and yellow from the saffron seasoning;the grilled chicken was so tender and yellow from the saffron seasoning;['grilled', 'chicken', 'tender', 'yellow', 'saffron', 'seasoning'];grilled chicken tender yellow saffron seasoning
623;a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.;0;a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait;a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait;['drive', 'thru', 'means', 'want', 'wait', 'around', 'half', 'hour', 'food', 'somehow', 'end', 'going', 'make', 'us', 'wait', 'wait'];drive thru means want wait around half hour food somehow end going make us wait wait
624;Pretty awesome place.;1;Pretty awesome place;pretty awesome place;['pretty', 'awesome', 'place'];pretty awesome place
625;Ambience is perfect.;1;Ambience is perfect;ambience is perfect;['ambience', 'perfect'];ambience perfect
626;Best of luck to the rude and non-customer service focused new management.;0;Best of luck to the rude and non customer service focused new management;best of luck to the rude and non customer service focused new management;['best', 'luck', 'rude', 'non', 'customer', 'service', 'focused', 'new', 'management'];best luck rude non customer service focused new management
627;Any grandmother can make a roasted chicken better than this one.;0;Any grandmother can make a roasted chicken better than this one;any grandmother can make a roasted chicken better than this one;['grandmother', 'make', 'roasted', 'chicken', 'better', 'one'];grandmother make roasted chicken better one
628;I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.;0;I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself;i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself;['asked', 'multiple', 'times', 'wine', 'list', 'time', 'ignored', 'went', 'hostess', 'got', 'one'];asked multiple times wine list time ignored went hostess got one
629;The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!;1;The staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby;the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby;['staff', 'always', 'super', 'friendly', 'helpful', 'especially', 'cool', 'bring', 'two', 'small', 'boys', 'baby'];staff always super friendly helpful especially cool bring two small boys baby
630;Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !;1;Four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat;four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat;['four', 'stars', 'food', 'guy', 'blue', 'shirt', 'great', 'vibe', 'still', 'letting', 'us', 'eat'];four stars food guy blue shirt great vibe still letting us eat
631;The roast beef sandwich tasted really good!;1;The roast beef sandwich tasted really good;the roast beef sandwich tasted really good;['roast', 'beef', 'sandwich', 'tasted', 'really', 'good'];roast beef sandwich tasted really good
632;Same evening, him and I are both drastically sick.;0;Same evening him and I are both drastically sick;same evening him and i are both drastically sick;['evening', 'drastically', 'sick'];evening drastically sick
633;High-quality chicken on the chicken Caesar salad.;1;High quality chicken on the chicken Caesar salad;high quality chicken on the chicken caesar salad;['high', 'quality', 'chicken', 'chicken', 'caesar', 'salad'];high quality chicken chicken caesar salad
634;Ordered burger rare came in we'll done.;0;Ordered burger rare came in we ll done;ordered burger rare came in we ll done;['ordered', 'burger', 'rare', 'came', 'done'];ordered burger rare came done
635;We were promptly greeted and seated.;1;We were promptly greeted and seated;we were promptly greeted and seated;['promptly', 'greeted', 'seated'];promptly greeted seated
636;Tried to go here for lunch and it was a madhouse.;0;Tried to go here for lunch and it was a madhouse;tried to go here for lunch and it was a madhouse;['tried', 'go', 'lunch', 'madhouse'];tried go lunch madhouse
637;I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.;1;I was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable;i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable;['proven', 'dead', 'wrong', 'sushi', 'bar', 'quality', 'great', 'service', 'fast', 'food', 'impeccable'];proven dead wrong sushi bar quality great service fast food impeccable
638;After waiting an hour and being seated, I was not in the greatest of moods.;0;After waiting an hour and being seated I was not in the greatest of moods;after waiting an hour and being seated i was not in the greatest of moods;['waiting', 'hour', 'seated', 'greatest', 'moods'];waiting hour seated greatest moods
639;This is a good joint.;1;This is a good joint;this is a good joint;['good', 'joint'];good joint
640;The Macarons here are insanely good.;1;The Macarons here are insanely good;the macarons here are insanely good;['macarons', 'insanely', 'good'];macarons insanely good
641;I'm not eating here!;0;I m not eating here;i m not eating here;['eating'];eating
642;Our waiter was very attentive, friendly, and informative.;1;Our waiter was very attentive friendly and informative;our waiter was very attentive friendly and informative;['waiter', 'attentive', 'friendly', 'informative'];waiter attentive friendly informative
643;Maybe if they weren't cold they would have been somewhat edible.;0;Maybe if they weren t cold they would have been somewhat edible;maybe if they weren t cold they would have been somewhat edible;['maybe', 'cold', 'would', 'somewhat', 'edible'];maybe cold would somewhat edible
644;This place has a lot of promise but fails to deliver.;0;This place has a lot of promise but fails to deliver;this place has a lot of promise but fails to deliver;['place', 'lot', 'promise', 'fails', 'deliver'];place lot promise fails deliver
645;Very bad Experience!;0;Very bad Experience;very bad experience;['bad', 'experience'];bad experience
646;What a mistake.;0;What a mistake;what a mistake;['mistake'];mistake
647;Food was average at best.;0;Food was average at best;food was average at best;['food', 'average', 'best'];food average best
648;Great food.;1;Great food;great food;['great', 'food'];great food
649;We won't be going back anytime soon!;0;We won t be going back anytime soon;we won t be going back anytime soon;['going', 'back', 'anytime', 'soon'];going back anytime soon
650;Very Very Disappointed ordered the $35 Big Bay Plater.;0;Very Very Disappointed ordered the Big Bay Plater;very very disappointed ordered the big bay plater;['disappointed', 'ordered', 'big', 'bay', 'plater'];disappointed ordered big bay plater
651;Great place to relax and have an awesome burger and beer.;1;Great place to relax and have an awesome burger and beer;great place to relax and have an awesome burger and beer;['great', 'place', 'relax', 'awesome', 'burger', 'beer'];great place relax awesome burger beer
652;It is PERFECT for a sit-down family meal or get together with a few friends.;1;It is PERFECT for a sit down family meal or get together with a few friends;it is perfect for a sit down family meal or get together with a few friends;['perfect', 'sit', 'family', 'meal', 'get', 'together', 'friends'];perfect sit family meal get together friends
653;Not much flavor to them, and very poorly constructed.;0;Not much flavor to them and very poorly constructed;not much flavor to them and very poorly constructed;['much', 'flavor', 'poorly', 'constructed'];much flavor poorly constructed
654;The patio seating was very comfortable.;1;The patio seating was very comfortable;the patio seating was very comfortable;['patio', 'seating', 'comfortable'];patio seating comfortable
655;The fried rice was dry as well.;0;The fried rice was dry as well;the fried rice was dry as well;['fried', 'rice', 'dry', 'well'];fried rice dry well
656;Hands down my favorite Italian restaurant!;1;Hands down my favorite Italian restaurant;hands down my favorite italian restaurant;['hands', 'favorite', 'italian', 'restaurant'];hands favorite italian restaurant
657;"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.";1;That just SCREAMS LEGIT in my book somethat s also pretty rare here in Vegas;that just screams legit in my book somethat s also pretty rare here in vegas;['screams', 'legit', 'book', 'somethat', 'also', 'pretty', 'rare', 'vegas'];screams legit book somethat also pretty rare vegas
658;It was just not a fun experience.;1;It was just not a fun experience;it was just not a fun experience;['fun', 'experience'];fun experience
659;The atmosphere was great with a lovely duo of violinists playing songs we requested.;1;The atmosphere was great with a lovely duo of violinists playing songs we requested;the atmosphere was great with a lovely duo of violinists playing songs we requested;['atmosphere', 'great', 'lovely', 'duo', 'violinists', 'playing', 'songs', 'requested'];atmosphere great lovely duo violinists playing songs requested
660;I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).;1;I personally love the hummus pita baklava falafels and Baba Ganoush it s amazing what they do with eggplant;i personally love the hummus pita baklava falafels and baba ganoush it s amazing what they do with eggplant;['personally', 'love', 'hummus', 'pita', 'baklava', 'falafels', 'baba', 'ganoush', 'amazing', 'eggplant'];personally love hummus pita baklava falafels baba ganoush amazing eggplant
661;Very convenient, since we were staying at the MGM!;1;Very convenient since we were staying at the MGM;very convenient since we were staying at the mgm;['convenient', 'since', 'staying', 'mgm'];convenient since staying mgm
662;The owners are super friendly and the staff is courteous.;1;The owners are super friendly and the staff is courteous;the owners are super friendly and the staff is courteous;['owners', 'super', 'friendly', 'staff', 'courteous'];owners super friendly staff courteous
663;Both great!;1;Both great;both great;['great'];great
664;Eclectic selection.;1;Eclectic selection;eclectic selection;['eclectic', 'selection'];eclectic selection
665;The sweet potato tots were good but the onion rings were perfection or as close as I have had.;1;The sweet potato tots were good but the onion rings were perfection or as close as I have had;the sweet potato tots were good but the onion rings were perfection or as close as i have had;['sweet', 'potato', 'tots', 'good', 'onion', 'rings', 'perfection', 'close'];sweet potato tots good onion rings perfection close
666;The staff was very attentive.;1;The staff was very attentive;the staff was very attentive;['staff', 'attentive'];staff attentive
667;And the chef was generous with his time (even came around twice so we can take pictures with him).;1;And the chef was generous with his time even came around twice so we can take pictures with him;and the chef was generous with his time even came around twice so we can take pictures with him;['chef', 'generous', 'time', 'even', 'came', 'around', 'twice', 'take', 'pictures'];chef generous time even came around twice take pictures
668;The owner used to work at Nobu, so this place is really similar for half the price.;1;The owner used to work at Nobu so this place is really similar for half the price;the owner used to work at nobu so this place is really similar for half the price;['owner', 'used', 'work', 'nobu', 'place', 'really', 'similar', 'half', 'price'];owner used work nobu place really similar half price
669;Google mediocre and I imagine Smashburger will pop up.;0;Google mediocre and I imagine Smashburger will pop up;google mediocre and i imagine smashburger will pop up;['google', 'mediocre', 'imagine', 'smashburger', 'pop'];google mediocre imagine smashburger pop
670;dont go here.;0;dont go here;dont go here;['dont', 'go'];dont go
671;I promise they won't disappoint.;1;I promise they won t disappoint;i promise they won t disappoint;['promise', 'disappoint'];promise disappoint
672;As a sushi lover avoid this place by all means.;0;As a sushi lover avoid this place by all means;as a sushi lover avoid this place by all means;['sushi', 'lover', 'avoid', 'place', 'means'];sushi lover avoid place means
673;What a great double cheeseburger!;1;What a great double cheeseburger;what a great double cheeseburger;['great', 'double', 'cheeseburger'];great double cheeseburger
674;Awesome service and food.;1;Awesome service and food;awesome service and food;['awesome', 'service', 'food'];awesome service food
675;A fantastic neighborhood gem !!!;1;A fantastic neighborhood gem;a fantastic neighborhood gem;['fantastic', 'neighborhood', 'gem'];fantastic neighborhood gem
676;I can't wait to go back.;1;I can t wait to go back;i can t wait to go back;['wait', 'go', 'back'];wait go back
677;The plantains were the worst I've ever tasted.;0;The plantains were the worst I ve ever tasted;the plantains were the worst i ve ever tasted;['plantains', 'worst', 'ever', 'tasted'];plantains worst ever tasted
678;It's a great place and I highly recommend it.;1;It s a great place and I highly recommend it;it s a great place and i highly recommend it;['great', 'place', 'highly', 'recommend'];great place highly recommend
679;Service was slow and not attentive.;0;Service was slow and not attentive;service was slow and not attentive;['service', 'slow', 'attentive'];service slow attentive
680;I gave it 5 stars then, and I'm giving it 5 stars now.;1;I gave it stars then and I m giving it stars now;i gave it stars then and i m giving it stars now;['gave', 'stars', 'giving', 'stars'];gave stars giving stars
681;Your staff spends more time talking to themselves than me.;0;Your staff spends more time talking to themselves than me;your staff spends more time talking to themselves than me;['staff', 'spends', 'time', 'talking'];staff spends time talking
682;Dessert: Panna Cotta was amazing.;1;Dessert Panna Cotta was amazing;dessert panna cotta was amazing;['dessert', 'panna', 'cotta', 'amazing'];dessert panna cotta amazing
683;Very good food, great atmosphere.1;1;Very good food great atmosphere;very good food great atmosphere;['good', 'food', 'great', 'atmosphere'];good food great atmosphere
